06:00,07:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
07:00,08:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
08:00,09:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
09:00,10:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
10:00,11:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11:00,12:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
12:00,13:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
13:00,14:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
14:00,15:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
15:00,16:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
16:00,17:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
17:00,18:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
18:00,19:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
19:00,20:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
20:00,21:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
21:00,22:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
22:00,23:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
23:00,00:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
00:00,01:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
01:00,02:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty
02:00,03:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty